,0,1,2,3
129,bBeJqSWeIbndzH4FJUNJITQklz9SI0WDtxyxZNMGqYSFtQ,PepinoMaritimo,DIAMOND,br1
130,_jqjCENdDOkRB4nT4-Fuq3xIsBQ1jXyuhkjv97ZfAyhLtg,Nazux da ZL,DIAMOND,br1
131,pN_6yFQ8QsU3Hh1A1ZytRGj2HTF75-pw2Pvuep2x1RHnKr4,Draven Mech,DIAMOND,br1
132,rQ-rc6_uqI1SgPBxUsSqAX4h0XQH9ukwdJi2lu_jkqXhXw,Whale52,DIAMOND,br1
133,HMnPgFI8UTAbBWzeJXE7l0S5g20mb7I-iWGHVZbXCHetO3c,CHAPA BOLSOLULA,DIAMOND,br1
134,d9NgH_3sQNoJCs0239UWexBnIYGZiIfACuzeHuh2o7lHUQw,LegaI e Bonito ,DIAMOND,br1
135,EOk3yagOV_snOfugBdu-KnsdSXm0xcIv4g0xZomSp8KVNw,midos,DIAMOND,br1
136,6S7LaLtxNBJ0wp1xHqK8IdTHVdaFi95MuZgCE7fsyfLEkmo,Tyfer,DIAMOND,br1
137,nTGI9N7IFPDu1vALIUZ0R8r9-4bGzT-F6ydyBKR-SR-zPg,Coldnose,DIAMOND,br1
138,xP7epiZ3T-ZDErnXv2R5eb3r-pRDNxlRemtVCpDlqmV6oQ,Skorch,DIAMOND,br1
139,bz96CmoaLhQiyV4ws-AFSPFkVtfEmpjN2b30nx8TE2H4ZQ,eh o dokito ne,DIAMOND,br1
140,PBGyPdlN6ZhfkAK66QmE9_PTyg-ZhCS9VyPaoYGWX5G4TQ,wilsonsdr,DIAMOND,br1
141,wER5kQjWyL6URJ8c3CwKCQ9uZsfM7K-H1qd8_XzBAJnmVw,stallezin,DIAMOND,br1
142,H-E0l5ihR5vhuXF0SnvvUiw_wJY5wvzH9DJgndjd2VCWhJg,Delatorre,DIAMOND,br1
143,eZz88qBbDO55hwCI5ZBAkjBNjI-GEgBFpiF7CSOLIgkhda8,ToonT,DIAMOND,br1
144,gkSz9BpWkgRwfGSwfyw5YWNoU-fnc5IdHWlLjq6uVVpq0g,Poc Del Rey,DIAMOND,br1
145,_ZDmqRjI9vNXBnOvwlrz0_PBq-PVvyM2uwEXqGwVlQL5_dc,Gardmas,DIAMOND,br1
146,k65h2bPRcARzstjKUNyLY1ZA-Q9mAkvSzOKpYAzVwfwpoA,Rekky,DIAMOND,br1
