summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
MTcSsHcy5GJ2udO4Bt7-bliBynZiVdiqDWK5TbS2qR2_MVk,GO Yaya,234,I,133,126,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
r11wEq78ReLcPMR3SockPQidBLpKc-zggHa3AUztFxtju40,Lobotomy Patient,85,I,115,102,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
VwMS8RcrG8QJA5uJr-bP5QPbzDMNLWfNrMpG2FrqTiEhFlM,Rayskat,124,I,212,162,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
kB527UGN55bqKf2SM1M1-cE0PwwacU_-ByLNv7zjbSlC1gM,William4,232,I,230,215,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
Frzc_cJrflRseyHLNZZF7cDmGAQr6YyJx5ArD2jk2tiyrYY,marinated pork,74,I,56,34,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
FcCiUZutBPQBodC0bPO6ZiCuifyeUpvF5dUAdaJWOqb5hBY,Thresh309,192,I,45,27,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
93cF5B0nVV1Ub6AGOprHV-cM9H4tQ_DrLJ28ZAUYeZHzBRM,bartastic,87,I,241,247,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
YlKEjqInBn7WkPKsUby3gfKuN_Ion067Dgm39r7A4s6XWQU,Mystiques Fan,159,I,153,144,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
hEn6QI0zXOd8YvDkSfqwNpSaZmf44alxyh_T7Z2U53VCnVM,Fred Flintst0ne,156,I,117,112,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
hUjo_0-sUQz3Qt2YlmTHrp4TT2VviX2bhbxtJ240ll8K3Sk,g1zmo0,89,I,152,144,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
